"Month","SO_nitrate","SO_ammonia","SO_phyt","SO_detritus","D_nitrate","D_ammonia","D_phyt","D_detritus","SI_nitrate","SI_ammonia","SI_phyt","SI_detritus","RIV_nitrate","RIV_ammonia","RIV_detritus","SO_ATM_nitrate_flux","SO_ATM_ammonia_flux","SI_ATM_nitrate_flux","SI_ATM_ammonia_flux","SI_other_nitrate_flux","SI_other_ammonia_flux","SO_other_nitrate_flux","SO_other_ammonia_flux","DO_nitrate","DO_ammonia","DO_detritus"
1,0.413763518983844,0.173115966950417,0.174289028698102,0.30655159947557,25.2754873729444,0.137353771748219,0.00768613301270908,0.0967545377290431,0.053735967,0.023119779,0.184289122,0.035783731,10,1,0,0.00471143426978746,0.00695979776835146,0.00316066918776624,0.00455807930680447,0,0,0,0,39.4773238280672,0.0932195567244831,0.033279962777673
2,0.228018667244302,0.151315921574253,0.130567120510963,0.192966618741573,25.4376201910701,0.140502183135224,0.0132861176903704,0.0918272571611747,0.051336435,0.022087385,0.174679211,0.029047065,10,1,0,0.00683927700778156,0.00916185486425346,0.00586141751476817,0.00600099617279941,0,0,0,0,39.3878808700782,0.094059709858031,0.0331580870582907
3,0.144198649422552,0.139860019652522,0.112650213595829,0.128282523961335,25.6122306016106,0.142654949736845,0.0172681146132567,0.083328533628956,0.040407985,0.017385445,0.153083997,0.021262489,10,1,0,0.00659813626974066,0.0117156174986662,0.00597565788410879,0.00854506082768436,0,0,0,0,39.2221171191314,0.0965458002089965,0.0252894351642666
4,0.264476458050042,0.151927283570314,0.135522753092536,0.0941697228430528,25.9188684511278,0.143441959143375,0.0144588124730618,0.0800124065565087,0.044963007,0.019345232,0.158259256,0.022001803,10,1,0,0.00639396664198665,0.0124837404915265,0.00658192289327937,0.0120691739444044,0,0,0,0,39.2266074647704,0.0962090463148911,0.0150134694749206
5,0.840777024816845,0.184475168106911,0.2152557826488,0.0945671690140411,26.1207049520147,0.143080639762064,0.00953010873111548,0.0758617481169193,0.064500417,0.027751159,0.167445626,0.024814096,10,1,0,0.00497891534385937,0.0114797738440815,0.00439495717879162,0.0103066761201153,0,0,0,0,39.212104159809,0.0948823309806887,0.0117242888616576
6,0.938500930119859,0.188698037714734,0.205849318705132,0.116572647496779,25.9546152485928,0.143018205910314,0.00948980478187939,0.0724157841759432,0.083767099,0.036040605,0.173742496,0.030669211,10,1,0,0.00512780585614521,0.00766658678739553,0.0046712927065701,0.00580935428539912,0,0,0,0,39.0702982065065,0.0954643009304558,0.0162042198701994
7,0.467435772212577,0.177489119422532,0.204267970515399,0.205128687699129,25.5679367929888,0.137878084459796,0.00876750226360258,0.0581086664652663,0.038756853,0.016675049,0.165128371,0.03202102,10,1,0,0.00730196552132235,0.00678899393240977,0.00660275473916036,0.00581227010652457,0,0,0,0,39.1377353056279,0.0959287552908149,0.0199584709509497
8,0.450038867592434,0.207017251923728,0.252614283652239,0.397021077234923,25.6955503754402,0.135813848136796,0.00454396099278818,0.0562459342138134,0.040334021,0.017353622,0.168140681,0.034361279,10,1,0,0.0118096110685664,0.00644760315782875,0.0119833283722916,0.00594271191885085,0,0,0,0,39.3390316908388,0.0950809979771342,0.018175355642555
9,0.762478221162229,0.25162378676076,0.311410887123004,0.623952416493218,25.8495671508333,0.132984184858308,0.00305167037167348,0.0723742559662433,0.061756357,0.026570533,0.212286047,0.058975787,10,1,0,0.0180196156725287,0.0092882075391355,0.0188348566492399,0.009000051511629,0,0,0,0,39.5790511689767,0.0937121640666111,0.0178725428648801
10,0.667331312313807,0.249846627611261,0.280461584268161,0.734870714281504,25.7057351425703,0.135586890023768,0.00298306904495255,0.106800818470972,0.084646698,0.036419051,0.230549811,0.068589436,10,1,0,0.00790359869745264,0.0038801155145353,0.00811233855826858,0.00369852582585015,0,0,0,0,39.5255815799813,0.0936549996799906,0.017400492232351
11,0.775292250601681,0.22194533961912,0.215351987108703,0.62272096829271,25.5375239771628,0.138749885131269,0.00275130159024271,0.134579131048581,0.089083108,0.038327806,0.215059782,0.051712557,10,1,0,0.0044870459463536,0.00253865086484612,0.0052395286426569,0.00223161062292222,0,0,0,0,39.6042473015189,0.0926057257419252,0.0189466821338651
12,0.729761080799109,0.195451783900876,0.192842983284292,0.424307674896012,25.3824326776911,0.139063297630064,0.00381777741942156,0.123561449507588,0.097573262,0.041980676,0.213935347,0.048836306,10,1,0,0.00421437279274043,0.00401858755651312,0.00387388407596074,0.00311334645332691,0,0,0,0,39.6602922592664,0.0922254613125042,0.0266510629634109
