"Month","SO_nitrate","SO_ammonia","SO_phyt","SO_detritus","D_nitrate","D_ammonia","D_phyt","D_detritus","SI_nitrate","SI_ammonia","SI_phyt","SI_detritus","RIV_nitrate","RIV_ammonia","RIV_detritus","SO_ATM_nitrate_flux","SO_ATM_ammonia_flux","SI_ATM_nitrate_flux","SI_ATM_ammonia_flux","SI_other_nitrate_flux","SI_other_ammonia_flux","SO_other_nitrate_flux","SO_other_ammonia_flux","DO_nitrate","DO_ammonia","DO_detritus"
1,0.46286278447477,0.180999778965501,0.1988568800609,0.277738357314513,24.6036379556743,0.148941154652949,0.0114063003869684,0.116868248247703,0.053735967,0.023119779,0.184289122,0.035783731,10,1,0,0.00376585942869019,0.00598774222369533,0.00265608820635053,0.00397821022991589,0,0,0,0,37.8309267946221,0.10339737742293,0.0273293306773675
2,0.394395478727985,0.178741147077402,0.191912069081819,0.192741814301126,24.6708188895838,0.149964412973154,0.0156068051333664,0.116399998604293,0.051336435,0.022087385,0.174679211,0.029047065,10,1,0,0.00591345837713009,0.00756357817462974,0.00462501769482596,0.00482521906897673,0,0,0,0,37.9431392818008,0.102927428834145,0.0279521791597479
3,0.532695954010289,0.183475519970329,0.190277124088692,0.142688454678036,24.6378005608755,0.151036281922384,0.0177915800100922,0.114976429539394,0.040407985,0.017385445,0.153083997,0.021262489,10,1,0,0.00626366389142822,0.00964644003427729,0.00506204714964268,0.00633716082719717,0,0,0,0,38.0159282007528,0.102405200524504,0.0281606967632501
4,1.23696592951139,0.221680355946259,0.279159539561002,0.157096166464286,24.6968492798803,0.149914678206474,0.0148101075075375,0.114276476800723,0.044963007,0.019345232,0.158259256,0.022001803,10,1,0,0.00592387791368223,0.0125667539292148,0.00662605522111768,0.0114481103429127,0,0,0,0,37.9695622627982,0.102648170293585,0.0327682889375391
5,1.92007207403886,0.258089638219831,0.355320394533916,0.204034841221186,24.5549424741851,0.148021274379086,0.012482156059538,0.112786925772435,0.064500417,0.027751159,0.167445626,0.024814096,10,1,0,0.00453380498206801,0.013039982555786,0.00409366123588575,0.0117610434010144,0,0,0,0,37.7907111383651,0.103265248361646,0.0414137096578406
6,1.00227014922143,0.215322723456439,0.219322906029786,0.176884297388643,24.3057682706843,0.151346765310409,0.0144380229188428,0.114010717991628,0.083767099,0.036040605,0.173742496,0.030669211,10,1,0,0.00535036043618761,0.0059602780189986,0.00520400600396984,0.00449031624676926,0,0,0,0,37.1860729131998,0.103691876263371,0.0541712242311207
7,0.541279960051166,0.201646993471329,0.206582739012766,0.248397000437033,24.2222463444312,0.150852317606918,0.0101232174334285,0.0977234392578074,0.038756853,0.016675049,0.165128371,0.03202102,10,1,0,0.00540786135774363,0.00530978504349456,0.00516455620527267,0.00445870859634286,0,0,0,0,37.1872428385899,0.104791063534964,0.0583181037846197
8,0.494869984399016,0.210564962593519,0.237933433910947,0.383848414468219,24.1580115071117,0.148540086955003,0.00444418220065659,0.0864390620458297,0.040334021,0.017353622,0.168140681,0.034361279,10,1,0,0.0138539854707497,0.00488772923405784,0.0150469911267577,0.00454217060318878,0,0,0,0,37.1471707314071,0.106724746071867,0.0512434268958635
9,0.720143623833574,0.226799433940041,0.255944377218801,0.546027057168708,24.4674486389769,0.145885940740604,0.00244438485970457,0.0903684641967152,0.061756357,0.026570533,0.212286047,0.058975787,10,1,0,0.0200145360126737,0.00731339445337653,0.0180545227513427,0.00683758773707918,0,0,0,0,37.3475843377496,0.107048586890825,0.0382176559388802
10,0.904180381537714,0.236670532915221,0.261948342442674,0.666629517890414,24.4096334184223,0.142822622739461,0.00190010096615643,0.103061903509953,0.084646698,0.036419051,0.230549811,0.068589436,10,1,0,0.007692608748421,0.00311182023236348,0.00802218315324613,0.0027892363261998,0,0,0,0,37.5083826803294,0.106431772086783,0.0208672467220475
11,0.865431808853318,0.22728520653299,0.25865596387389,0.603051650528118,24.2039934517878,0.146195463735208,0.00336995889808849,0.127167159422159,0.089083108,0.038327806,0.215059782,0.051712557,10,1,0,0.00401290923556579,0.00202130135481379,0.00468092870765499,0.00170567715984015,0,0,0,0,37.4720691135143,0.104707792867205,0.0205510837725915
12,0.632726241930099,0.206453463703705,0.214113504422617,0.458881337654841,24.1980403050561,0.147407060438582,0.00802470976126024,0.125133445593083,0.097573262,0.041980676,0.213935347,0.048836306,10,1,0,0.0038191221208067,0.00319397507486479,0.00349738729542576,0.00237042016203811,0,0,0,0,37.6188979347424,0.103249182895603,0.0247754703584984
