"Month","SLight","SO_LogeSPM","SI_LogeSPM","SO_temp","D_temp","SI_temp","Rivervol_SI","log10Kvert","mixLscale","D_SO_upwelling","SO_D_downwelling","SO_OceanIN","D_OceanIN","SI_OceanIN","SI_OceanOUT","SO_SI_flow","habS1_pdist","habS2_pdist","habS3_pdist","habD1_pdist","habD2_pdist","habD3_pdist","Inshore_waveheight","DO_log10Kvert","DO_mixLscale","DO_D_upwelling","D_DO_downwelling"
1,46.3269835359196,5.92864702420303,5.94072115412851,26.5672604489544,10.8636669387125,26.7588383460858,1.64424638556363e-06,-5.30218289546638,0.1,0.511553302430795,0.0218278943031741,0.0351967849382699,0.0154512471260298,0,0,0.00533860477899526,0.002948133,0.002948133,0.002948133,9.31e-08,9.31e-08,9.31e-08,1.57917944192886,-5.16987234593213,0.9,0.099330316749116,0.0637971714226216
2,45.5433191250267,5.9509658857266,6.02332153174689,26.8283431591347,10.7407752076227,26.9075224528931,1.78281585701717e-06,-5.32026562246415,0.1,0.465858619416028,0.0144354955280292,0.0246472091733522,0.0110010830238187,0,0,0.00382556660081896,0.002948133,0.002948133,0.002948133,9.31e-08,9.31e-08,9.31e-08,1.62421215772629,-5.16877589712639,0.9,0.0781184556239072,0.0541487940035996
3,42.0930983193091,6.02480587105208,6.04581257105476,26.6475850641872,10.6339466107809,26.440398421421,2.46899342568585e-06,-5.33254543655841,0.1,0.569206987910038,0.0241571099798282,0.035474739656687,0.016482347820814,0,0,0.00463013052266323,0.002948133,0.002948133,0.002948133,9.31e-08,9.31e-08,9.31e-08,1.69294970035553,-5.16781375790226,0.9,0.0783054581289807,0.0858119906741787
4,38.9823748460299,6.0224772433895,6.08994891112786,26.2866008787258,10.5865073615487,26.2239152259673,3.44959379515582e-06,-4.95302312955074,0.2,0.556706853080182,0.0281925973034316,0.0456456568316163,0.0183292204050516,0,0,0.00664825720239906,0.002948133,0.002948133,0.002948133,9.31e-08,9.31e-08,9.31e-08,1.84475507736206,-5.16785230443098,0.9,0.0835815675903336,0.0882580432257116
5,38.6870977580104,6.00367388389078,6.09304069105561,25.8903777205676,10.6201803636317,25.9261361708292,2.32204107952476e-06,-5.3419619343961,0.6,0.303110111251533,0.0451789966079821,0.0729917524177267,0.0188757311878423,0,0,0.00782773045886145,0.002948133,0.002948133,0.002948133,9.31e-08,9.31e-08,9.31e-08,1.87992618083954,-5.16879027315513,0.9,0.0703999173311887,0.106970571634048
6,35.894246286573,5.9489723825883,6.01792917411888,25.7398244350153,10.7735306740142,25.7171635461253,2.24637280137546e-06,-5.33720211144192,0.8,0.271262929831572,0.0643319114248632,0.0854895094490075,0.0175762590153297,0,0,0.00790997773018396,0.002948133,0.002948133,0.002948133,9.31e-08,9.31e-08,9.31e-08,1.99918080568314,-5.17090563441172,0.9,0.0727068935211259,0.112199403663041
7,34.7759779246874,5.92215900174365,5.95254145166216,25.5083658783821,10.9252301660794,25.4224519528883,2.33650790009538e-06,-3.75864368961107,0.8,0.340471474502662,0.0630303552811033,0.0817711878732066,0.0151072008062585,0,0,0.00787864234834596,0.002948133,0.002948133,0.002948133,9.31e-08,9.31e-08,9.31e-08,2.02315974235535,-5.17241656026087,0.9,0.0991551280300955,0.117233945270009
8,36.7620911063125,5.91296775430872,5.91745941197405,24.9845911627062,10.9845783101452,25.147388929978,2.45040120067291e-06,-2.96562612391242,0.8,0.478668812660973,0.0592316013220006,0.0730110491804244,0.0161418289993029,0,0,0.00727071526188069,0.002948133,0.002948133,0.002948133,9.31e-08,9.31e-08,9.31e-08,2.03166049718857,-5.17252058357362,0.9,0.117974604710688,0.106150511052305
9,41.0087677808506,5.94049812034602,5.94342597667121,24.7072940542065,11.0113499116614,24.9890597559826,2.43429881616432e-06,-2.81507189290078,0.8,0.535598434266903,0.0614283096908684,0.0779068083156935,0.0158880055985656,0,0,0.00750159061653853,0.002948133,0.002948133,0.002948133,9.31e-08,9.31e-08,9.31e-08,1.98693236112595,-5.17251589155902,0.9,0.123038760606861,0.117228208726482
10,45.1918339954281,6.18733919855182,6.32486811589478,24.8923333015506,11.0027444940568,25.1851527189933,1.95082311226495e-06,-3.41729066653418,0.6,0.501858812986604,0.0479667356534597,0.0640389396494696,0.0165100501805959,0,0,0.00654401907230792,0.002948133,0.002948133,0.002948133,9.31e-08,9.31e-08,9.31e-08,1.85914649963379,-5.17289500429135,0.9,0.109005242364698,0.106262157666768
11,47.0034428069294,6.22378401067879,6.25547916053861,25.4258000406537,11.0064692256818,25.5888237775737,1.73507209438649e-06,-4.69991598483919,0.2,0.424145977167918,0.0444513205522146,0.0504830625536808,0.0178989018239866,0,0,0.00550759200229663,0.002948133,0.002948133,0.002948133,9.31e-08,9.31e-08,9.31e-08,1.81544419527054,-5.17289054206286,0.9,0.0969833571565267,0.0944464394193038
12,47.9038276334519,6.07268269445079,6.10302530895171,26.1082013302146,10.9861054404589,26.2336514305401,1.38932985338501e-06,-5.29546863764558,0.1,0.404175080708826,0.0333998734530479,0.0425031266244948,0.0175007721628661,0,0,0.00506509203894313,0.002948133,0.002948133,0.002948133,9.31e-08,9.31e-08,9.31e-08,1.68837937116623,-5.17308071286687,0.9,0.102895728376754,0.0751907138271846
