Month,Variable,median,lower_centile,upper_centile,Units,low_cent_value,upp_cent_value,Comments
Jan,surface_nitrate,NA,NA,NA,mMNm3,17,83,No_data_available
Feb,surface_nitrate,NA,NA,NA,mMNm3,17,83,No_data_available
Mar,surface_nitrate,NA,NA,NA,mMNm3,17,83,No_data_available
Apr,surface_nitrate,NA,NA,NA,mMNm3,17,83,No_data_available
May,surface_nitrate,NA,NA,NA,mMNm3,17,83,No_data_available
Jun,surface_nitrate,NA,NA,NA,mMNm3,17,83,No_data_available
Jul,surface_nitrate,NA,NA,NA,mMNm3,17,83,No_data_available
Aug,surface_nitrate,NA,NA,NA,mMNm3,17,83,No_data_available
Sep,surface_nitrate,NA,NA,NA,mMNm3,17,83,No_data_available
Oct,surface_nitrate,NA,NA,NA,mMNm3,17,83,No_data_available
Nov,surface_nitrate,NA,NA,NA,mMNm3,17,83,No_data_available
Dec,surface_nitrate,NA,NA,NA,mMNm3,17,83,No_data_available
Jan,deep_nitrate,NA,NA,NA,mMNm3,17,83,No_data_available
Feb,deep_nitrate,NA,NA,NA,mMNm3,17,83,No_data_available
Mar,deep_nitrate,NA,NA,NA,mMNm3,17,83,No_data_available
Apr,deep_nitrate,NA,NA,NA,mMNm3,17,83,No_data_available
May,deep_nitrate,NA,NA,NA,mMNm3,17,83,No_data_available
Jun,deep_nitrate,NA,NA,NA,mMNm3,17,83,No_data_available
Jul,deep_nitrate,NA,NA,NA,mMNm3,17,83,No_data_available
Aug,deep_nitrate,NA,NA,NA,mMNm3,17,83,No_data_available
Sep,deep_nitrate,NA,NA,NA,mMNm3,17,83,No_data_available
Oct,deep_nitrate,NA,NA,NA,mMNm3,17,83,No_data_available
Nov,deep_nitrate,NA,NA,NA,mMNm3,17,83,No_data_available
Dec,deep_nitrate,NA,NA,NA,mMNm3,17,83,No_data_available
Jan,surface_ammonia,NA,NA,NA,mMNm3,17,83,No_data_available
Feb,surface_ammonia,NA,NA,NA,mMNm3,17,83,No_data_available
Mar,surface_ammonia,NA,NA,NA,mMNm3,17,83,No_data_available
Apr,surface_ammonia,NA,NA,NA,mMNm3,17,83,No_data_available
May,surface_ammonia,NA,NA,NA,mMNm3,17,83,No_data_available
Jun,surface_ammonia,NA,NA,NA,mMNm3,17,83,No_data_available
Jul,surface_ammonia,NA,NA,NA,mMNm3,17,83,No_data_available
Aug,surface_ammonia,NA,NA,NA,mMNm3,17,83,No_data_available
Sep,surface_ammonia,NA,NA,NA,mMNm3,17,83,No_data_available
Oct,surface_ammonia,NA,NA,NA,mMNm3,17,83,No_data_available
Nov,surface_ammonia,NA,NA,NA,mMNm3,17,83,No_data_available
Dec,surface_ammonia,NA,NA,NA,mMNm3,17,83,No_data_available
Jan,deep_ammonia,NA,NA,NA,mMNm3,17,83,No_data_available
Feb,deep_ammonia,NA,NA,NA,mMNm3,17,83,No_data_available
Mar,deep_ammonia,NA,NA,NA,mMNm3,17,83,No_data_available
Apr,deep_ammonia,NA,NA,NA,mMNm3,17,83,No_data_available
May,deep_ammonia,NA,NA,NA,mMNm3,17,83,No_data_available
Jun,deep_ammonia,NA,NA,NA,mMNm3,17,83,No_data_available
Jul,deep_ammonia,NA,NA,NA,mMNm3,17,83,No_data_available
Aug,deep_ammonia,NA,NA,NA,mMNm3,17,83,No_data_available
Sep,deep_ammonia,NA,NA,NA,mMNm3,17,83,No_data_available
Oct,deep_ammonia,NA,NA,NA,mMNm3,17,83,No_data_available
Nov,deep_ammonia,NA,NA,NA,mMNm3,17,83,No_data_available
Dec,deep_ammonia,NA,NA,NA,mMNm3,17,83,No_data_available
Jan,surface_chlorophyll,0.085215927,0.042607964,0.170431855,mgm3,5,95,Remote_sensing_satellite_data
Feb,surface_chlorophyll,0.076544547,0.038272273,0.153089094,mgm3,5,95,Remote_sensing_satellite_data
Mar,surface_chlorophyll,0.066063915,0.033031958,0.13212783,mgm3,5,95,Remote_sensing_satellite_data
Apr,surface_chlorophyll,0.069209052,0.034604526,0.138418104,mgm3,5,95,Remote_sensing_satellite_data
May,surface_chlorophyll,0.078321046,0.039160523,0.156642093,mgm3,5,95,Remote_sensing_satellite_data
Jun,surface_chlorophyll,0.091335806,0.045667903,0.182671612,mgm3,5,95,Remote_sensing_satellite_data
Jul,surface_chlorophyll,0.113441845,0.056720923,0.226883691,mgm3,5,95,Remote_sensing_satellite_data
Aug,surface_chlorophyll,0.157292913,0.078646457,0.314585826,mgm3,5,95,Remote_sensing_satellite_data
Sep,surface_chlorophyll,0.170575742,0.085287871,0.341151484,mgm3,5,95,Remote_sensing_satellite_data
Oct,surface_chlorophyll,0.116488346,0.058244173,0.232976693,mgm3,5,95,Remote_sensing_satellite_data
Nov,surface_chlorophyll,0.092801534,0.046400767,0.185603068,mgm3,5,95,Remote_sensing_satellite_data
Dec,surface_chlorophyll,0.089371648,0.044685824,0.178743296,mgm3,5,95,Remote_sensing_satellite_data
Jan,omniv_zooplankton,NA,NA,NA,mMNm3,17,83,No_data_available
Feb,omniv_zooplankton,NA,NA,NA,mMNm3,17,83,No_data_available
Mar,omniv_zooplankton,NA,NA,NA,mMNm3,17,83,No_data_available
Apr,omniv_zooplankton,NA,NA,NA,mMNm3,17,83,No_data_available
May,omniv_zooplankton,NA,NA,NA,mMNm3,17,83,No_data_available
Jun,omniv_zooplankton,NA,NA,NA,mMNm3,17,83,No_data_available
Jul,omniv_zooplankton,NA,NA,NA,mMNm3,17,83,No_data_available
Aug,omniv_zooplankton,NA,NA,NA,mMNm3,17,83,No_data_available
Sep,omniv_zooplankton,NA,NA,NA,mMNm3,17,83,No_data_available
Oct,omniv_zooplankton,NA,NA,NA,mMNm3,17,83,No_data_available
